Loopnr,TN,FP,FN,TP
1,614,10,32,544
2,595,13,17,575
3,580,16,22,582
4,596,8,27,569
5,588,11,15,586
6,581,14,26,579
7,582,9,21,588
8,603,5,25,567
9,595,8,25,572
10,581,14,25,580
11,589,17,17,577
12,581,16,20,583
13,577,11,21,591
14,596,9,23,572
15,608,11,27,554
16,578,15,25,582
17,596,10,26,568
18,591,15,26,568
19,593,16,27,564
20,597,12,14,577
21,583,10,22,585
22,586,11,21,582
23,559,12,24,605
24,578,6,24,592
25,557,13,19,611
26,598,12,26,564
27,580,26,15,579
28,581,16,19,584
29,584,14,17,585
30,572,8,24,596
31,575,8,22,595
32,589,8,22,581
33,593,10,25,572
34,569,9,27,595
35,590,12,17,581
36,581,15,27,577
37,572,7,24,597
38,572,15,12,601
39,585,14,18,583
40,600,13,19,568
41,595,13,32,560
42,614,16,18,552
43,587,16,21,576
44,579,11,32,578
45,609,12,23,556
46,582,9,25,584
47,593,6,33,568
48,609,8,16,567
49,580,10,27,583
50,619,14,19,548
